winloss,date,score,opponent,location,year,record,coach,conference
L,"Sat, October 7",3 - 42,Utah St,"Provo, UT",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 14",0 - 49,Utah,"Salt Lake City, UT",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Tue, October 24",0 - 47,Colorado School of Mines,"Provo, UT",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
W,"Tue, November 14",7 - 0,Wyoming,"Provo, UT",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, November 25",0 - 33,Colorado St,"Fort Collins, CO",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Thu, November 30",0 - 13,Wyoming,"Laramie, WY",1922,1-5 (0.167),Alvin G. Twitchell,Rocky Mountain Athletic Conference
W,"Sat, September 29",16 - 15,Montana St,"Provo, UT",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sun, October 7",0 - 41,Colorado,"Boulder, CO",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 13",6 - 14,Colorado St,"Fort Collins, CO",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 27",0 - 15,Utah,"Provo, UT",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
W,"Sat, November 3",19 - 0,Western St Colorado,"Provo, UT",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Mon, November 12",0 - 40,Utah St,"Logan, UT",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Thu, November 29",6 - 31,Colorado College,"Colorado Springs, CO",1923,2-5 (0.286),Alvin G. Twitchell,Rocky Mountain Athletic Conference
W,"Sat, October 4",3 - 0,Colorado College,"Colorado Springs, CO",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 11",0 - 13,Montana St,"Bozeman, MT",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 25",6 - 35,Utah,"Salt Lake City, UT",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Fri, November 7",9 - 13,Utah St,"Provo, UT",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
W,"Tue, November 11",26 - 0,Western St Colorado,"Gunnison, CO",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
T,"Sat, November 15",0 - 0,Colorado School of Mines,"Golden, CO",1924,2-3-1 (0.333),Alvin G. Twitchell,Rocky Mountain Athletic Conference
L,"Sat, October 10",7 - 21,Colorado St,"Fort Collins, CO",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
